,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
313,Ekpe Udoh,2017-18,41,2.482,38,1.158,1652
314,Jusuf Nurkic,2014-15,41,1.863,35,0.714,2201
315,Jusuf Nurkic,2017-18,41,0.933,38,0.816,4394
316,Kosta Koufos,2017-18,41,1.517,35,0.971,2702
317,Jusuf Nurkic,2016-17,41,1.455,39,1.154,2817
318,Andray Blatche,2013-14,40,1.200,36,1.167,3332
319,Joakim Noah,2016-17,40,1.982,39,0.795,2018
320,Kevin Love,2016-17,40,0.814,37,0.838,4917
321,Kenneth Faried,2016-17,40,1.534,37,1.027,2608
322,Jarrett Allen,2020-21,40,1.058,39,1.077,3780
323,Rudy Gobert,2016-17,40,0.711,39,0.974,5628
324,Brandon Bass,2013-14,40,0.911,39,0.974,4389
325,Bam Adebayo,2018-19,40,1.035,38,0.789,3865
326,Anderson Varejao,2015-16,40,3.445,38,1.263,1161
327,DeMarcus Cousins,2020-21,40,2.508,38,0.763,1595
328,Tim Duncan,2015-16,40,1.190,40,0.625,3360
329,Luke Kornet,2018-19,40,2.581,36,0.917,1550
330,James Harden,2020-21,40,1.026,38,0.947,3900
331,Gorgui Dieng,2018-19,40,1.855,38,1.053,2156
332,Giannis Antetokounmpo,2019-20,40,0.853,36,0.694,4691
333,Andre Drummond,2019-20,40,1.074,40,1.100,3723
334,Dario Saric,2016-17,39,0.894,37,0.730,4362
335,Meyers Leonard,2016-17,39,1.557,36,1.000,2505
336,Tobias Harris,2018-19,39,0.569,38,1.316,6859
337,Mike Scott,2017-18,39,1.265,37,1.108,3084
338,Andre Drummond,2016-17,39,0.829,35,0.714,4702
339,Serge Ibaka,2014-15,39,0.935,35,0.743,4169
340,Timofey Mozgov,2014-15,39,0.783,35,0.886,4979
341,Bismack Biyombo,2015-16,38,0.872,34,1.059,4359
342,LaMarcus Aldridge,2018-19,38,0.645,36,0.778,5895
343,Tristan Thompson,2019-20,38,1.081,35,1.000,3514
344,LaMarcus Aldridge,2015-16,38,0.759,38,0.684,5009
345,Thomas Bryant,2019-20,38,1.566,35,1.143,2427
346,Al-Farouq Aminu,2016-17,38,1.006,33,0.727,3777
347,LaMarcus Aldridge,2019-20,38,1.082,33,0.909,3512
348,Jakob Poeltl,2018-19,38,1.286,35,0.800,2955
349,Kyle Kuzma,2017-18,38,0.763,36,0.806,4980
350,Kenneth Faried,2015-16,38,1.135,36,1.111,3349
351,Greg Monroe,2016-17,38,0.989,37,0.946,3844
352,Dario Saric,2017-18,38,0.712,37,0.892,5337
353,Timofey Mozgov,2015-16,38,1.404,32,0.938,2707
354,Robert Williams III,2020-21,37,1.753,35,1.029,2111
355,Willie Cauley-Stein,2015-16,37,1.290,35,0.629,2868
356,Jaylen Brown,2020-21,37,0.901,32,1.000,4107
357,Spencer Hawes,2013-14,37,0.742,35,1.171,4987
358,Naz Reid,2020-21,37,1.307,35,1.000,2831
359,James Michael McAdoo,2016-17,37,3.558,33,0.455,1040
360,Dragan Bender,2017-18,37,0.861,35,0.861,4297
361,Christian Wood,2019-20,37,1.398,36,1.167,2646
362,Frank Kaminsky,2018-19,37,2.436,35,0.914,1519
363,Harrison Barnes,2014-15,37,0.608,37,0.730,6087
364,Reggie Perry,2020-21,37,7.660,36,0.806,483
365,Richaun Holmes,2017-18,37,2.382,36,1.194,1553
366,Greg Monroe,2017-18,37,1.634,35,0.800,2264
367,Kendrick Perkins,2013-14,37,1.188,33,0.848,3114
368,Cristiano Felicio,2016-17,37,1.670,33,1.152,2215
369,Dwight Powell,2019-20,36,1.727,34,1.118,2084
370,Kenneth Faried,2013-14,36,0.811,34,1.029,4439
371,Marcin Gortat,2015-16,36,0.789,34,0.765,4565
372,Marvin Bagley III,2018-19,36,1.082,35,1.057,3328
373,Kevin Durant,2016-17,36,0.663,34,0.941,5426
374,Draymond Green,2019-20,36,1.398,35,1.171,2575
375,Steven Adams,2020-21,36,1.107,35,1.314,3253
376,Nerlens Noel,2015-16,36,0.910,34,0.853,3956
377,Andre Drummond,2020-21,36,1.311,30,0.767,2747
378,Harry Giles III,2019-20,36,2.590,36,1.250,1390
379,Josh Smith,2015-16,36,1.926,35,0.800,1869
380,JaVale McGee,2019-20,35,1.331,34,0.941,2630
381,Steven Adams,2014-15,35,1.013,34,0.735,3454
382,Karl-Anthony Towns,2015-16,35,0.671,32,0.969,5213
383,Pascal Siakam,2020-21,35,0.856,31,0.774,4088
384,DeMarcus Cousins,2017-18,35,0.993,32,0.969,3524
385,Kyle O'Quinn,2017-18,35,1.286,29,1.000,2722
386,Jaylen Hoard,2020-21,35,5.216,31,1.097,671
387,Aron Baynes,2019-20,35,1.817,34,1.294,1926
388,Kenneth Faried,2017-18,35,3.796,31,1.129,922
389,Kenyon Martin Jr.,2020-21,35,1.558,34,0.971,2246
390,Jerami Grant,2019-20,35,0.685,31,0.710,5106
391,Joakim Noah,2013-14,35,0.627,35,0.886,5581
392,Jalen McDaniels,2020-21,35,1.887,33,0.879,1855
393,Paul Millsap,2018-19,34,0.720,31,0.774,4721
394,Brandon Bass,2014-15,34,0.846,32,0.813,4021
395,Derrick Favors,2018-19,34,0.890,29,0.931,3820
396,Rondae Hollis-Jefferson,2019-20,34,1.408,30,1.433,2414
397,Joey Dorsey,2014-15,34,1.957,32,0.500,1737
398,Isaiah Hartenstein,2019-20,34,5.944,33,0.970,572
399,Kevin Love,2019-20,34,0.939,31,1.065,3621
400,Thaddeus Young,2013-14,34,0.611,31,0.903,5563
