Season,Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
2018-19,Houston Rockets,5,4.8,53,29,64.60%,52.7,52.7,13,0.3,2,115.5,17,110.8,9,0.3
2018-19,Sacramento Kings,18,-0.8,39,43,47.60%,38.9,38.9,17,0.1,17,110.1,18,110.9,6,1.1
2018-19,Dallas Mavericks,21,-1.6,33,49,40.20%,36.9,36.9,28,-3.9,19,109.9,19,111.5,7,1.1
2018-19,San Antonio Spurs,12,2,48,34,58.50%,46,46,5,2,5,113.5,20,111.5,17,-0.1
2018-19,LA Clippers,14,0.7,48,34,58.50%,42.8,42.8,1,5.2,8,112.4,21,111.7,10,0.3
2018-19,New Orleans Pelicans,20,-1.2,33,49,40.20%,37.9,37.9,29,-4.9,12,111.6,22,112.8,12,0.1
2018-19,Charlotte Hornets,19,-0.9,39,43,47.60%,38.6,38.6,11,0.4,11,111.9,23,112.9,23,-0.9
2018-19,Minnesota Timberwolves,23,-1.6,36,46,43.90%,36.8,36.8,20,-0.8,13,111.5,24,113.2,20,-0.3
2018-19,Chicago Bulls,27,-8.8,22,60,26.80%,20.1,20.1,6,1.9,29,104.9,25,113.7,30,-2.1
2018-19,Washington Wizards,24,-2.9,32,50,39.00%,33.6,33.6,23,-1.6,15,111,26,113.9,29,-1.9
2018-19,Atlanta Hawks,26,-6.8,29,53,35.40%,24.4,24.4,2,4.6,25,107.7,27,114.5,12,0.1
2018-19,New York Knicks,30,-10.6,17,65,20.70%,16.9,16.9,15,0.1,30,104.2,28,114.7,27,-1.7
2018-19,Phoenix Suns,28,-9.5,19,63,23.20%,18.9,18.9,16,0.1,28,105.7,29,115.2,28,-1.9
2018-19,Cleveland Cavaliers,29,-9.9,19,63,23.20%,18.5,18.5,10,0.5,24,107.8,30,117.7,26,-1.5
2017-18,Boston Celtics,6,4.1,55,27,67.10%,51.8,51.8,5,3.2,18,107.5,1,103.4,6,1.2
2017-18,Utah Jazz,5,4.3,48,34,58.50%,52.3,52.3,28,-4.3,16,107.9,2,103.6,1,2.7
2017-18,Philadelphia 76ers,4,5.2,52,30,63.40%,54.5,54.5,23,-2.5,9,109.6,3,104.4,3,2.1
2017-18,San Antonio Spurs,9,2.5,47,35,57.30%,47.7,47.7,18,-0.7,17,107.7,4,105.2,16,-0.1
2017-18,Toronto Raptors,2,7.9,59,23,72.00%,60.1,60.1,19,-1.1,3,113.5,5,105.6,2,2.3
