,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
595,Ian Mahinmi,2018-19,417,41.534,341,0.879,1004
596,Kelly Olynyk,2013-14,415,15.269,352,0.856,2718
597,Lou Amundson,2014-15,414,23.430,358,0.821,1767
598,Anthony Davis,2013-14,414,9.095,343,0.815,4552
599,Thon Maker,2019-20,411,26.602,350,1.080,1545
600,Frank Kaminsky,2020-21,411,26.079,353,0.972,1576
601,Serge Ibaka,2015-16,411,6.597,345,0.794,6230
602,Mike Muscala,2020-21,411,30.717,345,0.903,1338
603,Greg Monroe,2018-19,410,34.110,354,0.880,1202
604,Ryan Anderson,2015-16,410,10.164,356,0.914,4034
605,Richaun Holmes,2017-18,409,26.336,359,0.923,1553
606,Kenneth Faried,2015-16,409,12.213,357,1.005,3349
607,John Henson,2015-16,409,21.790,325,0.748,1877
608,Luke Kornet,2019-20,409,35.721,334,0.922,1145
609,Serge Ibaka,2014-15,408,9.787,346,0.803,4169
610,Joffrey Lauvergne,2015-16,408,19.806,363,0.984,2060
611,Justin Hamilton,2014-15,408,30.155,347,0.955,1353
612,Gorgui Dieng,2013-14,407,25.170,350,0.921,1617
613,Taj Gibson,2017-18,407,7.197,351,0.876,5655
614,Kristaps Porzingis,2015-16,405,10.282,359,0.821,3939
615,Ryan Anderson,2016-17,404,8.104,353,0.856,4985
616,Kelly Olynyk,2018-19,404,11.056,348,0.915,3654
617,Taj Gibson,2015-16,401,10.495,349,0.986,3821
618,Kevon Looney,2017-18,401,15.144,349,0.932,2648
619,Chris Bosh,2015-16,400,11.768,343,0.855,3399
620,Ivica Zubac,2016-17,396,31.255,350,0.949,1267
621,Dewayne Dedmon,2015-16,395,28.417,339,0.853,1390
622,Joey Dorsey,2014-15,395,22.740,344,0.837,1737
623,Noah Vonleh,2018-19,394,11.244,333,0.970,3504
624,Jason Maxiell,2014-15,394,23.190,336,0.859,1699
625,Channing Frye,2017-18,393,27.696,344,0.986,1419
626,Tyler Hansbrough,2013-14,393,20.772,341,0.743,1892
627,Amir Johnson,2018-19,392,33.764,331,0.941,1161
628,David West,2014-15,390,10.630,325,0.874,3669
629,Chris Boucher,2019-20,389,21.695,326,0.939,1793
630,Kenneth Faried,2016-17,386,14.801,324,1.009,2608
631,Khem Birch,2019-20,385,18.680,329,0.982,2061
632,Blake Griffin,2020-21,385,12.829,350,0.966,3001
