Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Ian Mahinmi,2017-18,66,2.771,60,0.800,2382,ff4231c5-89ef-11e6-9db4-a45e60e298d3
Xavier Tillman,2020-21,66,2.822,60,0.767,2339,6f81f6a8-9bdf-45e7-b034-e889bce73ce3
Wendell Carter Jr.,2021-22,66,1.731,62,1.141,3812,d0c66dcc-5165-458c-a443-ebe8ee6da4b3
Maxi Kleber,2018-19,66,2.154,64,1.141,3064,d6b3074b-83cc-4284-a649-8c9459d88626
Enes Freedom,2015-16,66,1.637,61,0.754,4032,ff41d597-89ef-11e6-99f9-a45e60e298d3
Marc Gasol,2018-19,66,1.053,63,0.825,6270,ff420730-89ef-11e6-bafd-a45e60e298d3
Blake Griffin,2016-17,66,1.533,62,0.806,4305,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Anthony Davis,2015-16,66,1.515,60,1.033,4355,ff41df59-89ef-11e6-810a-a45e60e298d3
Jayson Tatum,2021-22,66,0.891,61,0.951,7404,986b713a-b20b-4eb0-919e-c859d0508af7
Anthony Davis,2021-22,66,2.253,63,0.873,2929,ff41df59-89ef-11e6-810a-a45e60e298d3
LaMarcus Aldridge,2016-17,65,1.204,60,1.033,5398,ff4291dc-89ef-11e6-8416-a45e60e298d3
Blake Griffin,2014-15,65,1.133,61,0.770,5735,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Thomas Bryant,2018-19,65,2.087,60,1.100,3115,14bd79e9-4e2e-4f94-aea7-473843776936
Marc Gasol,2016-17,65,1.238,63,0.762,5250,ff420730-89ef-11e6-bafd-a45e60e298d3
Dewayne Dedmon,2018-19,65,1.913,60,0.803,3398,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Richaun Holmes,2019-20,64,2.556,58,1.207,2504,ff4271de-89ef-11e6-83dc-a45e60e298d3
Trey Lyles,2021-22,64,2.033,60,0.883,3148,ff42e242-89ef-11e6-a829-a45e60e298d3
Bismack Biyombo,2018-19,64,4.048,58,0.797,1581,ff401757-89ef-11e6-994b-a45e60e298d3
Alex Len,2018-19,64,1.897,59,1.034,3373,ff42c0ee-89ef-11e6-b9df-a45e60e298d3
JJ Hickson,2013-14,64,1.750,57,0.912,3657,ff426a87-89ef-11e6-b954-a45e60e298d3
Karl-Anthony Towns,2017-18,64,1.056,59,0.932,6059,ff417a73-89ef-11e6-a33e-a45e60e298d3
Ivica Zubac,2021-22,64,1.680,57,0.638,3809,4364572d-1c61-49fe-a083-495a2ebe45d5
Amir Johnson,2017-18,64,2.456,58,0.932,2606,ff4157f5-89ef-11e6-be80-a45e60e298d3
Draymond Green,2021-22,63,1.514,58,0.828,4161,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Robin Lopez,2018-19,63,1.960,60,0.900,3214,ff425eb3-89ef-11e6-9fb5-a45e60e298d3
Tyson Chandler,2014-15,63,1.299,60,0.717,4850,ff41601e-89ef-11e6-a4cc-a45e60e298d3
Josh Smith,2014-15,63,1.158,61,1.161,5439,ff422528-89ef-11e6-814b-a45e60e298d3
Jalen Smith,2021-22,62,3.301,56,1.107,1878,9406d274-c8ba-4638-a661-c93f077d0a2a
Cody Zeller,2019-20,62,2.382,58,1.190,2603,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
Giannis Antetokounmpo,2017-18,62,1.060,58,0.914,5851,ff423b75-89ef-11e6-a507-a45e60e298d3
Bismack Biyombo,2016-17,62,1.760,60,0.917,3522,ff401757-89ef-11e6-994b-a45e60e298d3
Markieff Morris,2017-18,62,1.454,57,1.018,4265,ff41cb11-89ef-11e6-8285-a45e60e298d3
Jusuf Nurkic,2018-19,62,1.511,56,0.964,4103,ff42622b-89ef-11e6-9088-a45e60e298d3
John Henson,2017-18,61,1.546,57,0.965,3946,ff429917-89ef-11e6-97c2-a45e60e298d3
Terrence Jones,2014-15,61,2.342,59,0.797,2605,ff4141c5-89ef-11e6-bcb1-a45e60e298d3
Carmelo Anthony,2017-18,61,1.149,57,0.649,5308,ff41a705-89ef-11e6-8b57-a45e60e298d3
DeAndre Jordan,2013-14,60,0.931,59,1.051,6442,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Julius Randle,2019-20,60,1.414,54,1.056,4244,ff42e1d4-89ef-11e6-9502-a45e60e298d3
Andrea Bargnani,2013-14,60,2.648,56,1.196,2266,ff41cd9e-89ef-11e6-bd78-a45e60e298d3
Kevin Durant,2013-14,60,0.780,56,0.911,7688,ff42cfdc-89ef-11e6-8347-a45e60e298d3
Dwight Howard,2013-14,60,1.185,54,0.815,5063,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Richaun Holmes,2021-22,60,2.720,56,1.089,2206,ff4271de-89ef-11e6-83dc-a45e60e298d3
Blake Griffin,2013-14,59,0.908,54,0.818,6496,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Blake Griffin,2017-18,59,1.515,52,0.673,3894,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Jakob Poeltl,2017-18,59,1.782,56,1.107,3311,ca6b7e96-9060-4d5a-8bef-1a8b6ab230ec
Draymond Green,2013-14,59,1.499,59,0.712,3937,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Miles Bridges,2020-21,59,1.455,58,1.000,4054,b9a042ea-bb42-499a-af74-746d6f8c029a
Serge Ibaka,2020-21,58,3.004,53,0.962,1931,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Al Horford,2016-17,58,1.048,55,0.891,5532,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
