Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Zaza Pachulia,2016-17,32,7.373,31,0.710,434,ff403f19-89ef-11e6-8e8d-a45e60e298d3
David West,2017-18,31,8.908,28,1.138,348,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Maxi Kleber,2021-22,30,3.456,26,0.846,868,d6b3074b-83cc-4284-a649-8c9459d88626
Blake Griffin,2020-21,30,4.762,28,1.036,630,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Draymond Green,2021-22,30,2.125,28,0.786,1412,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Tristan Thompson,2014-15,30,2.201,27,0.630,1363,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Tristan Thompson,2015-16,29,2.460,25,0.654,1179,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Al Horford,2017-18,28,2.151,26,1.115,1302,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Grant Williams,2019-20,27,7.941,25,0.960,340,561048bb-c412-4d8b-a0bc-27d250a1a431
Ivica Zubac,2020-21,27,4.787,26,1.308,564,4364572d-1c61-49fe-a083-495a2ebe45d5
Kevon Looney,2021-22,27,3.017,26,0.385,895,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Draymond Green,2018-19,27,1.549,26,0.692,1743,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Jaren Jackson Jr.,2021-22,27,3.863,26,0.704,699,9b2369c7-8445-48db-9fb5-99c10ec4b942
Giannis Antetokounmpo,2017-18,26,4.815,24,0.875,540,ff423b75-89ef-11e6-a507-a45e60e298d3
Nicolas Batum,2020-21,25,2.330,22,1.182,1073,ff4239f0-89ef-11e6-a24c-a45e60e298d3
P.J. Tucker,2017-18,25,2.275,24,0.667,1099,ff41362b-89ef-11e6-babd-a45e60e298d3
Steven Adams,2015-16,25,2.343,25,0.920,1067,ff420623-89ef-11e6-9b37-a45e60e298d3
Giannis Antetokounmpo,2021-22,23,2.522,21,1.000,912,ff423b75-89ef-11e6-a507-a45e60e298d3
Carmelo Anthony,2017-18,22,5.542,21,0.905,397,ff41a705-89ef-11e6-8b57-a45e60e298d3
Mason Plumlee,2019-20,22,5.213,20,1.050,422,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Thon Maker,2017-18,21,8.714,19,0.684,241,a431a70a-8e7e-48f3-bc85-a21fd0e7918b
Jeff Green,2017-18,21,2.096,21,1.190,1002,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Dwight Howard,2014-15,21,1.780,18,0.389,1180,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Enes Freedom,2015-16,21,3.339,21,0.524,629,ff41d597-89ef-11e6-99f9-a45e60e298d3
Joel Embiid,2021-22,20,2.743,19,1.105,729,ff42281e-89ef-11e6-8097-a45e60e298d3
Marc Gasol,2018-19,19,1.319,18,0.556,1440,ff420730-89ef-11e6-bafd-a45e60e298d3
Serge Ibaka,2016-17,19,3.270,18,0.778,581,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Dwight Howard,2019-20,19,3.363,17,1.118,565,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Paul Reed,2021-22,19,7.011,18,1.278,271,1736561c-d0c5-41ac-bd1c-1a28454ddb79
