,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
326,Bismack Biyombo,2019-20,726,35.870,613,0.958,2024
327,Willie Cauley-Stein,2016-17,725,25.948,607,0.977,2794
328,Larry Nance Jr.,2018-19,724,20.297,625,1.006,3567
329,Kristaps Porzingis,2020-21,723,27.079,605,1.013,2670
330,Serge Ibaka,2020-21,722,38.060,619,1.038,1897
331,Derrick Favors,2017-18,721,16.989,636,0.916,4244
332,Willy Hernangomez,2020-21,719,40.371,593,1.055,1781
333,Tyson Chandler,2013-14,718,23.131,623,0.930,3104
334,Dwight Howard,2014-15,718,30.475,616,0.858,2356
335,Elton Brand,2013-14,716,26.314,627,0.867,2721
336,Al Jefferson,2015-16,711,32.660,618,0.869,2177
337,Jahlil Okafor,2016-17,711,31.684,607,0.926,2244
338,Julius Randle,2017-18,707,15.580,630,0.957,4538
339,Daniel Theis,2018-19,704,37.150,591,0.868,1895
340,LaMarcus Aldridge,2016-17,703,16.025,616,0.908,4387
341,Robert Williams III,2020-21,702,35.312,591,0.990,1988
342,Enes Freedom,2014-15,702,17.151,624,0.965,4093
343,Chris Andersen,2014-15,702,33.831,577,0.846,2075
344,Meyers Leonard,2019-20,701,33.477,606,0.931,2094
345,Willie Reed,2016-17,698,34.049,593,0.914,2050
346,Robin Lopez,2019-20,698,33.365,598,0.925,2092
347,Brandan Wright,2014-15,696,24.344,602,0.836,2859
348,Zaza Pachulia,2018-19,696,39.478,575,0.950,1763
349,Kelly Olynyk,2020-21,695,16.865,605,1.079,4121
350,Tyler Zeller,2017-18,695,32.057,600,0.872,2168
351,Andray Blatche,2013-14,695,23.044,585,0.919,3016
352,Al Horford,2017-18,694,16.158,602,0.868,4295
353,John Henson,2016-17,693,31.935,576,0.889,2170
354,Ed Davis,2015-16,692,20.894,597,0.833,3312
355,John Henson,2013-14,690,19.850,603,0.938,3476
356,Khem Birch,2020-21,689,22.105,589,0.904,3117
357,Amar'e Stoudemire,2014-15,689,29.660,595,0.952,2323
358,Kendrick Perkins,2014-15,689,30.855,585,0.871,2233
359,Cristiano Felicio,2017-18,688,35.174,560,1.030,1956
360,Willie Cauley-Stein,2020-21,688,37.678,587,0.943,1826
361,JJ Hickson,2013-14,686,18.288,592,0.923,3751
362,Zaza Pachulia,2013-14,686,27.342,605,0.928,2509
363,Samuel Dalembert,2013-14,684,21.797,583,0.885,3138
364,Jusuf Nurkic,2014-15,681,30.940,568,0.892,2201
365,Joakim Noah,2014-15,681,17.232,593,0.833,3952
366,Marreese Speights,2016-17,680,26.888,590,0.967,2529
367,David West,2017-18,678,34.208,569,0.948,1982
368,Zach Randolph,2017-18,677,22.980,558,1.054,2946
369,Zach Randolph,2015-16,676,17.664,568,0.901,3827
370,John Henson,2014-15,675,28.785,565,0.884,2345
371,Tristan Thompson,2017-18,670,30.524,575,1.069,2195
372,Ian Mahinmi,2014-15,670,30.194,575,0.906,2219
373,Kosta Koufos,2013-14,670,26.556,560,0.844,2523
374,Ian Mahinmi,2013-14,669,27.782,573,0.832,2408
375,Brandon Bass,2015-16,668,25.160,581,0.855,2655
376,LaMarcus Aldridge,2015-16,667,15.288,588,0.766,4363
377,Jusuf Nurkic,2020-21,667,36.211,546,0.915,1842
378,Kevin Love,2013-14,667,11.659,561,0.865,5721
379,Amar'e Stoudemire,2013-14,665,24.767,565,1.012,2685
380,Taj Gibson,2020-21,665,35.791,569,0.918,1858
381,Pau Gasol,2013-14,665,17.201,596,0.822,3866
382,Kevin Seraphin,2014-15,663,28.652,574,0.904,2314
383,Steven Adams,2013-14,661,28.056,561,0.908,2356
384,Al Jefferson,2016-17,656,36.103,567,0.953,1817
385,Tyson Chandler,2016-17,653,26.006,567,0.997,2511
386,Anthony Davis,2015-16,653,14.977,544,0.897,4360
387,Miles Plumlee,2014-15,652,27.935,566,0.843,2334
388,Derrick Favors,2015-16,651,17.472,577,0.819,3726
389,Bobby Portis,2017-18,648,19.390,544,1.013,3342
390,Jaren Jackson Jr.,2019-20,647,18.651,555,0.981,3469
391,Dwight Powell,2016-17,645,25.810,538,0.991,2499
392,Miles Plumlee,2017-18,645,34.382,555,0.889,1876
393,David West,2015-16,642,23.439,545,0.942,2739
394,Daniel Gafford,2020-21,637,37.670,554,0.957,1691
395,Timofey Mozgov,2016-17,637,28.655,561,0.933,2223
396,Zaza Pachulia,2017-18,637,31.597,550,0.995,2016
397,Dewayne Dedmon,2019-20,636,40.330,540,0.978,1577
398,Christian Wood,2020-21,636,22.944,550,0.891,2772
399,Mitchell Robinson,2020-21,636,37.902,535,0.943,1678
400,Blake Griffin,2013-14,633,11.186,537,0.906,5659
401,Moses Brown,2020-21,632,32.245,540,1.036,1960
402,Dwight Powell,2020-21,630,32.324,553,0.877,1949
403,Willy Hernangomez,2018-19,622,36.761,532,1.007,1692
404,Kendrick Perkins,2013-14,621,26.136,521,0.892,2376
405,JJ Hickson,2014-15,620,21.994,521,0.841,2819
406,Omer Asik,2013-14,619,31.389,525,0.908,1972
407,Tarik Black,2016-17,618,27.863,543,0.811,2218
408,Zach Randolph,2013-14,614,12.310,523,0.883,4988
409,Robert Sacre,2014-15,614,27.922,521,0.873,2199
410,Dirk Nowitzki,2016-17,612,22.575,520,0.943,2711
411,Richaun Holmes,2016-17,611,24.797,528,0.942,2464
412,Joakim Noah,2016-17,610,30.228,529,0.946,2018
413,Kevin Love,2015-16,609,13.125,533,0.967,4640
414,Cody Zeller,2020-21,608,29.586,532,1.011,2055
415,DeJuan Blair,2013-14,604,24.979,528,0.950,2418
416,Bismack Biyombo,2013-14,602,30.085,511,0.820,2001
417,Dario Saric,2020-21,602,34.127,521,0.920,1764
418,Thaddeus Young,2020-21,600,17.916,518,1.032,3349
419,Nerlens Noel,2016-17,599,28.674,517,0.914,2089
420,Dewayne Dedmon,2017-18,598,19.472,515,0.987,3071
421,David West,2016-17,598,35.616,511,0.886,1679
422,DeMarcus Cousins,2020-21,597,40.392,511,0.903,1478
423,Mason Plumlee,2013-14,595,24.617,498,0.923,2417
424,Draymond Green,2020-21,595,14.086,511,0.951,4224
425,Kelly Olynyk,2014-15,594,21.207,510,0.768,2801
426,Cristiano Felicio,2016-17,591,28.872,503,1.014,2047
427,Damian Jones,2019-20,590,31.350,525,1.041,1882
428,Mo Bamba,2019-20,590,33.333,507,0.799,1770
429,Larry Nance Jr.,2017-18,589,20.123,504,0.887,2927
430,Jahlil Okafor,2018-19,589,29.883,506,1.010,1971
431,Greg Stiemsma,2013-14,588,30.850,495,0.836,1906
432,Chris Boucher,2020-21,584,19.703,501,0.956,2964
433,Cole Aldrich,2014-15,581,31.923,510,0.965,1820
434,Salah Mejri,2016-17,580,34.710,491,0.972,1671
435,Dirk Nowitzki,2014-15,579,13.061,510,0.936,4433
436,Deyonta Davis,2017-18,578,30.453,482,0.931,1898
437,Tyler Zeller,2013-14,575,28.381,515,0.888,2026
438,Montrezl Harrell,2017-18,572,21.407,489,0.749,2672
439,Harry Giles III,2018-19,571,32.169,479,0.992,1775
440,Lucas Nogueira,2016-17,570,27.208,458,0.852,2095
441,Spencer Hawes,2015-16,568,27.667,485,0.806,2053
442,Eric Moreland,2017-18,568,36.457,470,0.805,1558
443,Boban Marjanovic,2018-19,567,39.457,488,0.900,1437
444,Cristiano Felicio,2018-19,567,37.303,480,0.940,1520
445,LaMarcus Aldridge,2014-15,567,11.593,495,0.762,4891
446,James Wiseman,2020-21,566,31.340,486,0.994,1806
447,Alexis Ajinca,2013-14,566,31.410,471,0.959,1802
448,Markieff Morris,2014-15,565,11.033,475,0.788,5121
449,Channing Frye,2013-14,565,12.420,498,0.908,4549
450,Gorgui Dieng,2017-18,563,20.953,475,1.021,2687
451,Amir Johnson,2014-15,560,14.587,487,0.926,3839
452,Mo Bamba,2018-19,557,37.258,461,0.900,1495
453,Tyler Hansbrough,2014-15,557,27.711,474,0.842,2010
454,Bismack Biyombo,2018-19,553,34.978,480,1.010,1581
455,Meyers Leonard,2018-19,553,31.137,471,1.008,1776
456,Jason Smith,2014-15,552,16.468,466,0.968,3352
457,Cheick Diallo,2018-19,552,28.483,470,0.960,1938
